cod_id;endereco_lote_mais_proximo;lat;lon;status
219992957;RUA DOM BOSCO 229, 229, CENTRO;-19.5957645;-46.9389471;pendente_geracao
219992992;RUA MARIANO DE AVILA 290, 290, CENTRO;-19.5934903;-46.9387482;pendente_geracao
220247386;AVENIDA DAMASO DRUMMOND 1395, 1395, CENTRO;-19.5868406;-46.9338269;pendente_geracao
220247543;RUA CLAUDIO JOSE DE FARIA 465, 465, JOAO RIBEIRO;-19.602873;-46.9456949;pendente_geracao
220247635;RUA DIVINO ALVES FERREIRA 75, 75, SANTO ANTONIO;-19.6050658;-46.9299459;pendente_geracao
220247637;RUA DIVINO ALVES FERREIRA 225, 225, SANTO ANTONIO;-19.6068558;-46.928976;pendente_geracao
220316605;RUA DOUTOR EDMAR CUNHA 185, 185, SANTA TEREZINHA;-19.6058005;-46.9372466;pendente_geracao
220638861;RUA HERCULES AFONSO DE OLIVEIRA 175, 175, SANTO ANTONIO;-19.6125723;-46.9198072;pendente_geracao
220638982;SEBASTIAO MOREIRA 50, 50, MANGABEIRAS;-19.6146691;-46.9222438;pendente_geracao
220638987;RUA ANTONIO PEREIRA VALE 420, 420, SANTO ANTONIO;-19.6144553;-46.9202776;pendente_geracao
220780062;RUA ALEXANDRE DUMONT 525, 525, SANTA LUZIA;-19.5950535;-46.947917;pendente_geracao
220780109;RUA GERALDA DETONI 605, 605, SANTA LUZIA;-19.6003989;-46.9464468;pendente_geracao
220780132;RUA FORMIGA 115, 115, SANTA LUZIA;-19.5973959;-46.945143;pendente_geracao
220780172;RUA FUNCIONARIO JOAO ROSA 125, 125, CENTRO;-19.5939547;-46.9451111;pendente_geracao
220780178;RUA JOSE BORGES DE ARAUJO 302, 302, SANTA LUZIA;-19.5963361;-46.9454162;pendente_geracao
220780187;RUA DO OURO 236, 236, SAO CRISTOVAO;-19.5977014;-46.9436216;pendente_geracao
220780197;RUA CLAUDIO JOSE DE FARIA 274, 274, JOAO RIBEIRO;-19.6028204;-46.9447125;pendente_geracao
220780239;AVENIDA IMBIARA 1625, 1625, SILVERIA;-19.6085809;-46.9399299;pendente_geracao
220780242;AVENIDA IMBIARA 1493, 1493, SILVERIA;-19.6067655;-46.9398986;pendente_geracao
220780254;RUA BENTO ANTONIO 149, 149, CENTRO;-19.5859749;-46.9412506;pendente_geracao
220780281;RUA CASSIANO LEMOS 241, 241, CENTRO;-19.5897932;-46.9415061;pendente_geracao
220780284;AVENIDA IMBIARA 416, 416, CENTRO;-19.5972715;-46.9407666;pendente_geracao
220853305;RUA DONATO PINHEIRO DOS SANTOS 378, 378, JOAO RIBEIRO;-19.6052524;-46.9436742;pendente_geracao
220853325;RUA RIO BRANCO 416, 416, CENTRO;-19.5934327;-46.9432558;pendente_geracao
220853333;RUA PADRE ANTONIO MARCIGAGLIA 56, 56, CENTRO;-19.5935795;-46.9422091;pendente_geracao
220853340;RUA RUA SELDA DE CASTRO ALVES 155, 155, FERTIZA;-19.6092884;-46.9421594;pendente_geracao
220853365;RUA ZECA DO ALFREDO 350, 350, JOAO RIBEIRO;-19.6044285;-46.9430161;pendente_geracao
220853633;RUA GERALDA RUFINO BORGES 370, 370, VEREDAS DA CIDADE;-19.6028368;-46.9170513;pendente_geracao
220853658;RUA ANA GERTRUDES DE SOUZA 30, 30, SANTO ANTONIO;-19.6011297;-46.9246661;pendente_geracao
220853712;RUA TUPI 276, 276, SANTO ANTONIO;-19.6007269;-46.9251664;pendente_geracao
220853714;AVENIDA CASSIANO DE PAULA NASCIMENTO 285, 285, SANTO ANTONIO;-19.6031554;-46.9253002;pendente_geracao
220853715;RUA NOEL FERREIRA BARBOSA 20, 20, ESTANCIA;-19.6090825;-46.9260094;pendente_geracao
220853752;RUA JOAO DAVID 180, 180, SANTO ANTONIO;-19.5999213;-46.9227834;pendente_geracao
220853823;AVENIDA WILSON BORGES 485, 485, SANTO ANTONIO;-19.6008492;-46.9297717;pendente_geracao
220853863;AVENIDA WILSON BORGES 100, 100, DOUTOR PEDRO PEZZUTI;-19.5969573;-46.9296491;pendente_geracao
220853868;PRACA JUCA FREDERICO 510, 510, SANTO ANTONIO;-19.600845;-46.9284849;pendente_geracao
220853880;RUA AURELIO CANDIDO DE OLIVEIRA 125, 125, ODILON JOSE CARNEIRO;-19.5957945;-46.9268901;pendente_geracao
220853899;RUA MANOEL AMANCIO DA COSTA 20, 20, SANTO ANTONIO;-19.6051099;-46.9283642;pendente_geracao
220853918;RUA FERREIRA BENFICA 14, 14, ESTANCIA;-19.6065766;-46.9280481;pendente_geracao
220853931;PRACA JUCA FREDERICO 30, 30, SANTO ANTONIO;-19.6012355;-46.9282893;pendente_geracao
220853936;RUA JOSE JUSTINO CORNELIO 308, 308, ESTANCIA;-19.6101296;-46.9277758;pendente_geracao
220853952;RUA SANTO ANTONIO 532, 532, SANTO ANTONIO;-19.6015741;-46.9270352;pendente_geracao
220853986;RUA JOVINO AUGUSTO DA SILVA 185, 185, ADHEMAR RODRIGUES VALLE;-19.6130076;-46.92557;pendente_geracao
220854017;RUA LUIZ COLOMBO 617, 617, SAGRADA FAMILIA;-19.6028313;-46.9378307;pendente_geracao
220854035;RUA PADRE JOSE PIASEK 323, 323, SAGRADA FAMILIA;-19.6023913;-46.9384259;pendente_geracao
220854043;RUA ALMEIDA CAMPOS 220, 220, CENTRO;-19.594058;-46.9372014;pendente_geracao
220854046;AVENIDA PREFEITO ARACELY DE PAULA 3015, 3015, SANTA TEREZINHA;-19.6041511;-46.9377416;pendente_geracao
220854061;RUA LIMIRIO AFONSO 48, 48, CENTRO;-19.5914483;-46.9362743;pendente_geracao
220854064;AVENIDA GETULIO VARGAS 622, 622, CENTRO;-19.5972394;-46.9361911;pendente_geracao
220854143;AVENIDA PREFEITO ARACELY DE PAULA 3145, 3145, SANTA TEREZINHA;-19.6052262;-46.9385647;pendente_geracao
220854147;RUA LUIZ COLOMBO 901, 901, SAGRADA FAMILIA;-19.6047982;-46.939732;pendente_geracao
220854148;RUA DOM BOSCO 229, 229, CENTRO;-19.5957742;-46.9388804;pendente_geracao
220854171;RUA SAO LUIZ 294, 294, CENTRO;-19.5993426;-46.9338047;pendente_geracao
220854179;RUA GIL RODRIGUES 160, 160, SAO VICENTE;-19.6021889;-46.9337243;pendente_geracao
220854215;RUA PRESIDENTE OLEGARIO MACIEL 1552, 1552, SANTA TEREZINHA;-19.6027994;-46.9323971;pendente_geracao
220854229;AVENIDA GETULIO VARGAS 850, 850, CENTRO;-19.5986564;-46.9346162;pendente_geracao
220854268;AVENIDA SENADOR MONTANDON 187, 187, CENTRO;-19.5957868;-46.9351919;pendente_geracao
220854275;RUA PRESIDENTE OLEGARIO MACIEL 544, 544, CENTRO;-19.5944302;-46.936186;pendente_geracao
220854361;RUA DORVALINO PEREIRA BORGES 222, 222, DOUTOR PEDRO PEZZUTI;-19.5989636;-46.9312457;pendente_geracao
220855403;RUA ANTONIO BARRETO 326, 326, FERTIZA;-19.6103836;-46.943631;pendente_geracao
220855406;RUA SELDA DE CASTRO ALVES 486, 486, FERTIZA;-19.6099296;-46.945532;pendente_geracao
220857398;RUA DIVINO ALVES FERREIRA 75, 75, SANTO ANTONIO;-19.6050844;-46.9298985;pendente_geracao
220857400;RUA DIVINO ALVES FERREIRA 225, 225, SANTO ANTONIO;-19.6067836;-46.9289655;pendente_geracao
220857494;RUA WANTUIR BATISTA DA COSTA 110, 110, JOAO RIBEIRO;-19.6034717;-46.9412793;pendente_geracao
220930795;RUA DOUTOR EDMAR CUNHA 189, 189, SANTA TEREZINHA;-19.6058457;-46.9372377;pendente_geracao
220930805;RUA MARIA ABADIA BORGES 25, 25, SANTO ANTONIO;-19.6012992;-46.9231716;pendente_geracao
220930873;RUA SANTO ANTONIO 2510, 2510, ADHEMAR RODRIGUES VALLE;-19.6132074;-46.9237802;pendente_geracao
221095894;AVENIDA PREFEITO ARACELY DE PAULA 2775, 2775, SANTA TEREZINHA;-19.6019734;-46.9361237;pendente_geracao
221528461;RUA HELVECIO TADEU VAZ 175, 175, SANTO ANTONIO;-19.611229;-46.9195625;pendente_geracao
221528611;DORVALINA DE MELO PEREIRA 50, 50, MANGABEIRAS;-19.6146955;-46.9223109;pendente_geracao
221621571;RUA IPIAO 400, 400, CENTRO;-19.5913518;-46.9469098;pendente_geracao
221621629;RUA FORMIGA 115, 115, SANTA LUZIA;-19.5974414;-46.9451149;pendente_geracao
221621656;RUA ELOI TEIXEIRA 71, 71, SANTA LUZIA;-19.5965458;-46.9469056;pendente_geracao
221621680;RUA ANTONIO BARRETO 490, 490, FERTIZA;-19.6107819;-46.9452372;pendente_geracao
221621719;AVENIDA IMBIARA 1142, 1142, JOAO RIBEIRO;-19.603429;-46.9402113;pendente_geracao
221621750;AVENIDA VEREADOR JOAO SENA 530, 530, CENTRO;-19.5870391;-46.9422545;pendente_geracao
