cod_id,poste_numero,na_fila_de_links
223390343,1052,SIM
224318274,1027,SIM
219298305,995,SIM
223390420,949,SIM
219298379,953,SIM
224318372,959,SIM
222494702,966,SIM
223977031,973,SIM
222494698,970,SIM
221621857,919,SIM
223390447,843,SIM
219298217,808,SIM
224318103,768,SIM
223390219,669,SIM
219991891,719,SIM
350236623,735,SIM
220780146,781,SIM
221621630,824,SIM
220780141,868,SIM
1496652914,751,SIM
222494429,702,SIM
1496652915,666,SIM
1496652820,597,SIM
219991926,541,SIM
219298047,535,SIM
223390192,727,SIM
1496653010,799,SIM
1496653001,854,SIM
1496656397,916,SIM
219991945,957,SIM
1496653706,965,SIM
1496653707,1008,SIM
224318091,1067,SIM
452630541,1130,SIM
452630933,1180,SIM
350236654,1244,SIM
452630956,1303,SIM
221621853,1345,SIM
223390170,958,SIM
223977058,923,SIM
224318092,1063,SIM
220780181,1024,SIM
224318110,967,SIM
221621711,1138,SIM
222494695,1085,SIM
221621712,1021,SIM
222494706,1212,SIM
222494705,1179,SIM
222494704,1112,SIM
221621855,1043,SIM
350236523,1009,SIM
223390457,963,SIM
219298218,921,SIM
224318347,1260,SIM
223976984,1415,SIM
992635467,1334,SIM
219991758,1267,SIM
223390383,1178,SIM
223976985,1169,SIM
223390384,1110,SIM
219298386,1048,SIM
224318314,1088,SIM
219298348,1133,SIM
220853351,1104,SIM
224318367,1479,SIM
222494603,1510,SIM
223390401,1498,SIM
222494604,1573,SIM
220853333,1653,SIM
221621751,1646,SIM
221621752,1632,SIM
219654825,1630,SIM
223390309,1663,SIM
223977029,1667,SIM
222494718,1670,SIM
220853324,1675,SIM
452631075,1669,SIM
223977026,1612,SIM
223977025,1542,SIM
223390407,1495,SIM
220853325,1434,SIM
452630985,1384,SIM
452630962,1324,SIM
452631008,1454,SIM
452631011,1419,SIM
219298377,1368,SIM
222494510,1183,SIM
223977059,1245,SIM
223977050,1319,SIM
223977051,1392,SIM
223390443,1347,SIM
222494514,1293,SIM
221621700,1235,SIM
220780172,1186,SIM
219991947,1166,SIM
221621701,1131,SIM
220780173,1065,SIM
219991948,1004,SIM
1637186367,893,SIM
1496653649,946,SIM
1496653651,961,SIM
219991828,752,SIM
1496653037,773,SIM
922742665,785,SIM
575503350,673,SIM
224318149,806,SIM
223976760,827,SIM
221621580,853,SIM
1496653279,863,SIM
1496653268,803,SIM
1496653285,920,SIM
222494412,964,SIM
223976769,1044,SIM
219991837,1071,SIM
224318046,1144,SIM
220559481,1028,SIM
220776877,1011,SIM
1496653242,718,SIM
1496653240,701,SIM
221621583,721,SIM
222494415,737,SIM
221621582,756,SIM
219991859,772,SIM
220780062,780,SIM
219298069,789,SIM
222733407,811,SIM
223255441,834,SIM
224102774,865,SIM
223390200,1375,SIM
219298134,1318,SIM
222494496,1234,SIM
221807227,1189,SIM
224102790,1136,SIM
223255425,1123,SIM
220247551,1119,SIM
221621656,1129,SIM
219991921,1210,SIM
222494530,1298,SIM
223390215,1297,SIM
223976790,1378,SIM
223976791,1452,SIM
219298177,1536,SIM
219991922,1616,SIM
220780157,1725,SIM
224318021,1436,SIM
224053472,1226,SIM
223636423,1296,SIM
223976789,1277,SIM
219298163,1252,SIM
219991955,1356,SIM
222573859,1440,SIM
220780178,1427,SIM
221621692,1418,SIM
222494512,1478,SIM
219298209,1562,SIM
221621693,1499,SIM
219298162,1398,SIM
223976773,1335,SIM
222494562,1302,SIM
223390175,1300,SIM
224318045,1325,SIM
219991910,1374,SIM
222494561,1411,SIM
223977057,1447,SIM
220780105,1431,SIM
221621660,1487,SIM
220780112,1247,SIM
223390438,1626,SIM
223977049,1686,SIM
224318101,1729,SIM
219991953,1655,SIM
223520254,1196,SIM
224136277,1208,SIM
219088844,1274,SIM
224390601,1321,SIM
223390423,1348,SIM
223977036,1367,SIM
221621841,1424,SIM
223390424,1474,SIM
224318346,1515,SIM
220853309,1548,SIM
221621839,1608,SIM
221621840,1674,SIM
219991788,1625,SIM
223977037,1574,SIM
222494710,1731,SIM
223390425,1797,SIM
219298339,1854,SIM
224318337,1898,SIM
219298372,1746,SIM
350236671,1841,SIM
221621817,1888,SIM
224318340,1970,SIM
219298344,2035,SIM
452631306,2032,SIM
452631385,2100,SIM
224318363,2140,SIM
219298360,2197,SIM
452631409,2255,SIM
219991772,2285,SIM
452632476,2311,SIM
222494666,2360,SIM
223390400,2417,SIM
222494719,2434,SIM
223977028,2448,SIM
220853322,2340,SIM
219298373,2254,SIM
452631358,2147,SIM
219298342,2097,SIM
222494677,1945,SIM
223390393,2009,SIM
220853320,2057,SIM
222494665,2108,SIM
221621835,2136,SIM
223390439,1927,SIM
221621702,1843,SIM
220780175,1798,SIM
219991954,1804,SIM
224318384,1871,SIM
219991790,1959,SIM
223390429,1805,SIM
452631449,2121,SIM
223390403,2200,SIM
350236563,2055,SIM
219298393,1964,SIM
224495756,1890,SIM
223977043,1837,SIM
219991791,1775,SIM
350236669,1808,SIM
222494493,1706,SIM
220780132,1597,SIM
221621629,1613,SIM
219991897,1611,SIM
219298133,1602,SIM
224318077,1590,SIM
223390162,1570,SIM
222494480,1493,SIM
223044168,1676,SIM
219298184,1749,SIM
223390161,1851,SIM
224318079,1971,SIM
220780122,1763,SIM
222494479,1781,SIM
219991960,1869,SIM
223977065,1972,SIM
224318391,2051,SIM
224318390,2058,SIM
219298074,1355,SIM
221621551,1286,SIM
223976748,1323,SIM
223390188,1310,SIM
220780081,1255,SIM
224318139,1197,SIM
219298085,1240,SIM
219991824,1292,SIM
221621550,1330,SIM
224318054,1363,SIM
223976774,1401,SIM
219991908,1429,SIM
220780109,1467,SIM
222494551,1476,SIM
221621644,1540,SIM
219991911,1704,SIM
224318057,1565,SIM
223976777,1534,SIM
220780108,1505,SIM
222494540,1469,SIM
221621552,1430,SIM
221621646,1455,SIM
222494541,1566,SIM
223390187,1634,SIM
221621649,1708,SIM
223390208,1727,SIM
1047018902,1756,SIM
223976785,1803,SIM
219298199,1842,SIM
224318065,1865,SIM
219991938,1913,SIM
223976740,1822,SIM
220780111,1758,SIM
224318056,1683,SIM
224318066,1764,SIM
219991935,1773,SIM
817706425,1614,SIM
219991907,1545,SIM
817706424,1504,SIM
817706421,1457,SIM
817706420,1456,SIM
224102760,1413,SIM
223255413,1362,SIM
220780160,1929,SIM
222494504,1943,SIM
221621667,1944,SIM
224318068,2023,SIM
223390160,1948,SIM
223976739,1946,SIM
219991964,1937,SIM
220780197,1932,SIM
219298221,1902,SIM
221621708,1920,SIM
220780198,1908,SIM
220319553,1887,SIM
224318368,1954,SIM
221621861,2033,SIM
224318387,1827,SIM
223255444,1769,SIM
224102780,1777,SIM
221621671,1779,SIM
220780161,1778,SIM
222733421,1660,SIM
220247543,1647,SIM
219386689,1659,SIM
219386712,1673,SIM
224102784,1680,SIM
224292619,1688,SIM
224292622,1693,SIM
607811406,1696,SIM
220247547,1691,SIM
219298737,458,SIM
220853775,436,SIM
219298739,407,SIM
219298741,381,SIM
219992424,475,SIM
224357653,461,SIM
223977537,337,SIM
223255299,266,SIM
2569577817,226,SIM
221807156,193,SIM
221528611,171,SIM
220638982,170,SIM
219654785,183,SIM
224495926,212,SIM
222571929,142,SIM
221528607,110,SIM
223694389,240,SIM
224495920,182,SIM
223694384,140,SIM
222571930,106,SIM
221986637,82,SIM
220638987,55,SIM
224357544,576,SIM
223977672,607,SIM
223390964,631,SIM
219654787,54,SIM
219916432,63,SIM
224223345,76,SIM
219654657,87,SIM
219654655,93,SIM
222571824,109,SIM
221986467,118,SIM
223694253,128,SIM
220638861,144,SIM
224223347,159,SIM
221986469,175,SIM
221528492,189,SIM
222571820,214,SIM
221528460,234,SIM
219654663,254,SIM
221986471,273,SIM
221528461,261,SIM
221986470,331,SIM
224495811,390,SIM
219654661,450,SIM
220638865,533,SIM
222571821,603,SIM
223694259,636,SIM
221528456,665,SIM
219654660,649,SIM
221986474,594,SIM
224495809,544,SIM
220638856,459,SIM
224495808,358,SIM
224495806,291,SIM
223694258,362,SIM
221986472,429,SIM
220638864,499,SIM
224495807,579,SIM
222571822,78,SIM
221528457,105,SIM
219654658,145,SIM
224223346,194,SIM
222571823,263,SIM
221986476,324,SIM
224223348,95,SIM
222571825,135,SIM
219654656,181,SIM
224495812,244,SIM
221986475,313,SIM
220638855,367,SIM
223694252,120,SIM
220638863,160,SIM
223694251,267,SIM
224495810,325,SIM
220638862,385,SIM
223694254,149,SIM
222571817,206,SIM
221528455,276,SIM
219654654,339,SIM
223979101,464,SIM
223456906,525,SIM
223694256,180,SIM
224495804,252,SIM
220638860,323,SIM
221986468,384,SIM
223694255,451,SIM
224495803,526,SIM
224223351,219,SIM
219654662,296,SIM
221528459,365,SIM
222571819,427,SIM
224223350,515,SIM
221528458,580,SIM
219386226,442,SIM
219386224,411,SIM
219386225,377,SIM
223456897,342,SIM
219298740,490,SIM
224357647,516,SIM
223391030,539,SIM
219992421,567,SIM
224357594,587,SIM
222495500,619,SIM
221807689,616,SIM
220930871,644,SIM
219384761,675,SIM
219384760,695,SIM
224357522,729,SIM
223977634,759,SIM
222495590,734,SIM
221703618,754,SIM
224357628,800,SIM
223455479,839,SIM
220853674,862,SIM
221703714,888,SIM
222496676,569,SIM
220855478,530,SIM
221705434,491,SIM
223456898,449,SIM
223979086,401,SIM
221705428,373,SIM
219991169,370,SIM
219386235,400,SIM
224359054,431,SIM
222496661,505,SIM
223979100,557,SIM
223979097,604,SIM
221705429,638,SIM
220855408,667,SIM
224359052,698,SIM
221705430,774,SIM
219298708,838,SIM
223977258,974,SIM
219386231,506,SIM
219991170,555,SIM
219991159,596,SIM
222496677,651,SIM
221705431,689,SIM
223456899,743,SIM
222496664,652,SIM
222496663,705,SIM
223456903,769,SIM
223979096,816,SIM
222496662,642,SIM
223456904,684,SIM
219991161,716,SIM
219991165,836,SIM
221705432,883,SIM
219991168,699,SIM
222496679,911,SIM
223979083,960,SIM
220857361,1678,SIM
221807237,1658,SIM
220857357,1631,SIM
220247555,1589,SIM
219386694,1551,SIM
224292626,1506,SIM
220247550,1465,SIM
222494714,1365,SIM
221807232,1326,SIM
223255431,1269,SIM
224292628,1201,SIM
221807229,1139,SIM
223323213,1069,SIM
224388435,1017,SIM
219472103,981,SIM
223323208,1005,SIM
224388432,1073,SIM
219472098,1134,SIM
223255433,1195,SIM
222733414,1261,SIM
219386697,1313,SIM
220247556,1361,SIM
219472101,1389,SIM
219386696,1406,SIM
220557927,1371,SIM
1347586020,1349,SIM
224388434,1331,SIM
224052795,1309,SIM
223044572,1254,SIM
221621822,1229,SIM
222494671,1301,SIM
221621846,1438,SIM
224318343,1503,SIM
350236641,1593,SIM
224318356,1587,SIM
223390405,1604,SIM
222494709,1629,SIM
220853314,1665,SIM
219991785,1705,SIM
221621844,1743,SIM
224053471,1774,SIM
223323829,1835,SIM
220703006,1771,SIM
221707169,1800,SIM
223045214,1829,SIM
223323828,1819,SIM
224318370,1935,SIM
220780110,341,SIM
