cod_id;poste_numero;na_fila_de_links
223976769;1044;SIM
223976773;1335;SIM
223976774;1401;SIM
223976777;1534;SIM
223976785;1803;SIM
223976789;1277;SIM
223976790;1378;SIM
223976791;1452;SIM
223976793;272;SIM
223976795;423;SIM
223976796;188;SIM
223976797;504;SIM
223976811;406;SIM
223976812;312;SIM
223976914;1165;SIM
223976915;1304;SIM
223976916;813;SIM
223976917;1364;SIM
223976918;1148;SIM
223976984;1415;SIM
223976985;1169;SIM
223977025;1542;SIM
223977026;1612;SIM
223977028;2448;SIM
223977029;1667;SIM
223977031;973;SIM
223977036;1367;SIM
223977037;1574;SIM
223977043;1837;SIM
223977049;1686;SIM
223977050;1319;SIM
223977051;1392;SIM
223977052;830;SIM
223977056;210;SIM
223977057;1447;SIM
223977058;923;SIM
223977059;1245;SIM
223977065;1972;SIM
223977258;974;SIM
223977537;337;SIM
223977634;759;SIM
223977672;607;SIM
223977700;242;SIM
223977706;443;SIM
223977709;511;SIM
223977792;165;SIM
223977793;218;SIM
223977808;38;SIM
223978077;483;SIM
223978086;439;SIM
223978087;404;SIM
223978116;686;SIM
223978118;884;SIM
223978120;887;SIM
223978968;452;SIM
223978969;299;SIM
223979083;960;SIM
223979086;401;SIM
223979096;816;SIM
223979097;604;SIM
223979100;557;SIM
223979101;464;SIM
224053472;1226;SIM
224102695;17;SIM
224102698;26;SIM
224102760;1413;SIM
224102774;865;SIM
224102780;1777;SIM
224102784;1680;SIM
224102790;1136;SIM
224102913;393;SIM
224102914;340;SIM
224102915;363;SIM
224102916;457;SIM
224102917;104;SIM
224102918;192;SIM
224102924;388;SIM
224102928;1;SIM
224102929;12;SIM
224136277;1208;SIM
224219884;154;SIM
224219885;204;SIM
224219886;361;SIM
224219887;549;SIM
224223345;76;SIM
224223346;194;SIM
224223347;159;SIM
224223348;95;SIM
224223350;515;SIM
224223351;219;SIM
224292420;167;SIM
224292421;298;SIM
224292423;849;SIM
224292427;16;SIM
224292585;18;SIM
224292589;29;SIM
224292619;1688;SIM
224292622;1693;SIM
224318020;147;SIM
224318021;1436;SIM
224318026;414;SIM
224318029;726;SIM
224318045;1325;SIM
224318046;1144;SIM
224318049;217;SIM
224318050;258;SIM
224318054;1363;SIM
224318056;1683;SIM
224318057;1565;SIM
224318063;148;SIM
224318064;195;SIM
224318065;1865;SIM
224318066;1764;SIM
224318068;2023;SIM
224318077;1590;SIM
224318079;1971;SIM
224318089;332;SIM
224318090;379;SIM
224318091;1067;SIM
224318092;1063;SIM
224318094;100;SIM
224318101;1729;SIM
224318103;768;SIM
224318105;566;SIM
224318106;779;SIM
224318110;967;SIM
224318114;463;SIM
224318116;176;SIM
224318139;1197;SIM
224318143;386;SIM
224318144;317;SIM
224318149;806;SIM
224318217;243;SIM
224318222;74;SIM
224318223;56;SIM
224318251;1030;SIM
224318252;978;SIM
224318253;703;SIM
224318262;894;SIM
224318274;1027;SIM
224318276;1391;SIM
224318311;521;SIM
224318314;1088;SIM
